productId,familyName,colour,oldSku,newSku,demo
89,Soaprozen met LED,White,ENR-SOAP-ROSE-BOX-LED-WHITE,SOAP-LED-WH,False
90,Soaprozen met LED,Cherry Pink,ENR-SOAP-ROSE-BOX-LED-CHERRY-PINK,SOAP-LED-CP,False
91,Soaproos in Box,Rood,ENR-SOAP-ROOS-IN-BOX-DEFAULT,SOAP-BOX-RD,False
94,Rose In Dome - 15x30 Single,Blue,ENR-ODOO-DOME-15X30-SINGLE-REVIEW-BLUE,DOM-15X30-BL,False
95,Rose In Dome - 15x30 Single,Red,ENR-ODOO-DOME-15X30-SINGLE-REVIEW-RED,DOM-15X30-RD,False
97,Rose In Dome - 15x30 Single,White,ENR-ODOO-DOME-15X30-SINGLE-REVIEW-WHITE,DOM-15X30-WH,False
98,Half Heart Rose Foam - 25 cm,Pink,ENR-ODOO-HALF-HEART-FOAM-25-PINK,FHH-25-PK,False
99,Half Heart Rose Foam - 25 cm,Red,ENR-ODOO-HALF-HEART-FOAM-25-RED,FHH-25-RD,False
100,Half Heart Rose Foam - 40 cm,Pink,ENR-ODOO-HALF-HEART-FOAM-40-PINK,FHH-40-PK,False
101,Half Heart Rose Foam - 40 cm,Red,ENR-ODOO-HALF-HEART-FOAM-40-RED,FHH-40-RD,False
102,Preserved rose in windowbox,Rood,ENR-ODOO-PRESERVED-ROSE-WINDOWBOX-PRESERVED-ROSE-IN-WINDOWBOX,ROSE-WIN-RD,True
103,12 Longroses - Transparent Box Display,Rood,ENR-P01,STEM-BOX-RD,False
104,12 Longroses - Transparent Box Display,Roze,ENR-P02,STEM-BOX-PK,False
105,12 Longroses - Transparent Box Display,Wit,ENR-P03,STEM-BOX-WH,False
106,12 Longroses - Transparent Box Display,Navy,ENR-P04,STEM-BOX-NV,False
107,Foam Bear With Hart - 25 cm,Rood,ENR-P05,FBH-25-RD,False
108,Klein Beer - 25 cm,Rood,ENR-P06,FB-25-RD,False
109,Klein Beer - 25 cm,Roze,ENR-P07,FB-25-PK,False
110,Rose In Dome - 15x30 Single,Pink,ENR-P08,DOM-15X30-PK,False
111,Foam Heart - 15 cm,Rood,ENR-P09,FH-15-RD,False
112,Foam Heart - 15 cm,Roze,ENR-P10,FH-15-PK,False
113,TEST PRODUCT,Fuchsia,ENR-P11,DEMO-FU,True
114,TEST PRODUCT,Champagne,ENR-P12,DEMO-CH,True
115,TEST PRODUCT,Lila,ENR-P13,DEMO-LI,True
116,Groot Beer - 40cm,Rood,ENR-P14,FBH-40-RD,False
117,Groot Beer - 40cm,Panda,ENR-P15,FBH-40-PD,False
118,Klein Beer - 25 cm,Gemengd,ENR-P16,FB-25-MX,False
119,Rose In Dome - 12*25 NO GIFTBOX,Rood,ENR-P17,DOM-12X25-NB-RD,False
120,Rose In Dome - 12*25 NO GIFTBOX,Roze,ENR-P18,DOM-12X25-NB-PK,False
121,Rose In Dome - 12*25 NO GIFTBOX,Wit,ENR-P19,DOM-12X25-NB-WH,False
122,Rose In Dome - 12*25 NO GIFTBOX,Blauw,ENR-P20,DOM-12X25-NB-BL,False
123,Rose In Dome - 7*23,Rood,ENR-P21,DOM-7X23-RD,False
124,Rose In Dome - 7*23,Roze,ENR-P22,DOM-7X23-PK,False
125,Rose In Dome - 7*23,Wit,ENR-P23,DOM-7X23-WH,False
126,Rose In Dome - 7*23,Blauw,ENR-P24,DOM-7X23-BL,False
